"r,a,b,d,t",match
"k,n,a,b,t",match
"dit,dit,lip,rig,dit",spell
"dik,lip,bid,lig,dik",Sound
"mik,rig,rig,bid,lid",Sound
"v,g,v,j,d",match
"g,v,g,k,h",match
"sug,lug,rus,vul,hul",spell
"bus,kus,sku,sug,buk",spell
"sug,sug,dus,kug,kus",Sound
"sug,kug,lus,sug,lug",Sound
"r,s,t,g,g",match
"r,d,b,v,k",match
"b,o,o,o,m",match
"r,b,m,s,r",match
"son,nog,bo,sog,ton",spell
"mot,son,lot,nog,bo",spell
"bo,vos,bos,rol,vog",Sound
"lot,rol,lot,vos,glo",Sound
"e,h,k,t,n",match
"d,f,e,l,k",matchSound
"elk,dek,sel,gek,het",spell
"tel,hen,gek,sel,elk",spell
"bad,rak,dak,kan,rat",spell
"nes,tel,dek,hef,gek",Sound
"nes,sel,bed,tel,hef",Sound
"t,d,ui,d,b",match
"b,ui,l,d,t",match
"dui,bui,dui,bui,dui",spell
"bui,bui,bui,dui,bui",spell
"lui,lui,bui,lui,uit",Sound
"lui,uit,bui,dui,lui",Sound
"d,w,w,w,m",match
"b,l,n,b,d",match
"bak,bad,dak,nar,van",spell
"m,d,n,d,w",match
"nie,nie,wie,nie,wie",spell
"wie,die,wie,die,nie",spell
"nie,nie,nie,nie,wie",Sound
"nie,wie,wie,die,die",Sound
"ei,w,w,m,s",match
"ei,r,m,m,w",match
"mei,wei,mei,seil,eie",spell
"eie,seil,wei,eie,klei",spell
"seil,eie,eie,klei,mei",Sound
"rak,bak,nat,kan,van",spell
"seil,seil,reis,eis,seil",Sound
"n,d,h,h,n",match
"d,ou,h,b,b",match
"jou,oud,jou,oud,oud",spell
"rou,nou,jou,nou,bou",spell
"nou,bou,jou,jou,rou",Sound
"oud,nou,vou,rou,rou",Sound
"g,m,m,oo,m",match
"k,g,m,m,oo",match
"p,p,p,oo,p",match
"vat,kat,kan,van,nar",Sound
"oor,oop,oop,oor,oom",spell
"oos,oop,ook,oog,oop",spell
"oop,oor,oor,oop,oom",Sound
"ook,oor,ook,oos,oom",Sound
"r,ee,g,t,r",match
"n,r,n,n,ee",match
"nee,see,eet,een,een",spell
"eer,see,een,een,nee",spell
"een,nee,eer,gee,eer",Sound
"eer,see,gee,nee,eet",Sound
"k,n,d,m,n",match
"m,oe,l,k,r",match
"r,b,s,oe,d",match
"b,m,t,t,k",match
"toer,doek,boek,soek,boer",spell
"boer,soek,hoek,moes,boek",spell
"boek,toer,moet,moet,koer",Sound
"koer,boer,soek,woes,boek",Sound
"l,m,g,m,i",match
"bid,gif,mik,lig,lig",spell
